SUBTITLE_SMAstE3101,On the other side of that tunnel.,,
SUBTITLE_SMAstE31010,I’m a doctor. Dr. Astrid Greenwood.,,
SUBTITLE_SMAstE31040,More like lab coats and test tubes. A researcher.,,
SUBTITLE_SMAstE31060,"I need to get to a town, up north.",,
SUBTITLE_SMAstE31070,Perseverance Mills. You know where that is?,,
SUBTITLE_SMAstE31090,"Ok, well there are some sick people there. And they need my help.",,
SUBTITLE_SMAstE31100,And the thing I lost in the plane crash...,,
SUBTITLE_SMAstE31110,...the thing my friend might have.,,
SUBTITLE_SMAstE31120,I need it if I’m going to help those people.,,
SUBTITLE_SMAstE31140,Right.,,
SUBTITLE_SMAstE31160,That’s right.,,
SUBTITLE_SMAstE31180,Yeah?,,
SUBTITLE_SMAstE31220,I’m not entirely sure.,,
SUBTITLE_SMAstE31221,That’s why I need to get there.,,
SUBTITLE_SMAstE31250,"I have some ideas, yes.",,
SUBTITLE_SMAstE31270,No...I’m not.,,
SUBTITLE_SMAstE3130,Where am I?,,
SUBTITLE_SMAstE31300,Right.,,
SUBTITLE_SMAstE31320,So...the power’s been out for a while?,,
SUBTITLE_SMAstE31340,Think it’ll come back?,,
SUBTITLE_SMAstE31390,How is that possible?,,
SUBTITLE_SMAstE31420,Well...that’s great.,,
SUBTITLE_SMAstE31421,Can you call for help? Find out what’s going on out there?,,
SUBTITLE_SMAstE31440,Nobody else lives around here?,,
SUBTITLE_SMAstE31460,"So...when you came in, I heard you locking a padlock.",,
SUBTITLE_SMAstE31461,Same thing when you went out.,,
SUBTITLE_SMAstE31470,Am I...locked in here?,,
SUBTITLE_SMAstE31490,Why?,,
SUBTITLE_SMAstE31520,"I appreciate everything you’ve done to help, but I’d like to leave.",,
SUBTITLE_SMAstE31530,I have to find my friend and...get on with my work.,,
SUBTITLE_SMAstE31550,So...I’m trapped in here?,,
SUBTITLE_SMAstE31570,So um...is your husband around?,,
SUBTITLE_SMAstE31590,Seems like more than one adult lives here. I assumed...a husband.,,
SUBTITLE_SMAstE31620,I didn’t mean to...,,
SUBTITLE_SMAstE31640,But you just got back...,,
SUBTITLE_SMAstE31660,I’m sorry.,,
SUBTITLE_SMAstE31680,Looks like I’m not the only one with secrets.,,
SUBTITLE_SMAstE31700,That looks like Molly.,,
SUBTITLE_SMAstE31710,From a while ago.,,
SUBTITLE_SMAstE31720,Looks like maybe the barrel exploded?,,
SUBTITLE_SMAstE31730,Torn from something...,,
SUBTITLE_SMAstE31750,Uhh...hello?,,
SUBTITLE_SMAstE31770,Molly?,,
SUBTITLE_SMAstE31790,Ok.,,
SUBTITLE_SMAstE3180,No no... I'm uh... I'll be okay.,,
SUBTITLE_SMAstE31810,Who has you surrounded? Are you in trouble?,,
SUBTITLE_SMAstE31850,But...but wolves don’t usually bother people.,,
SUBTITLE_SMAstE31890,Ok...ok what can I do?,,
SUBTITLE_SMAstE31910,"Ok, but you...locked me in here, remember?",,
SUBTITLE_SMAstE31950,Ok...ok I’m on my way.,,
SUBTITLE_SMAstE31970,H...hello?,,
SUBTITLE_SMAstE31990,Molly?,,
SUBTITLE_SMAstE32040,Molly...,,
SUBTITLE_SMAstE32041,...I was in your basement.,,
SUBTITLE_SMAstE32070,"I, um... I found the body.",,
SUBTITLE_SMAstE32090,"Molly, who...",,
SUBTITLE_SMAstE3210,You said we’re in your house.,,
SUBTITLE_SMAstE32100,...who was it?,,
SUBTITLE_SMAstE32130,Hmm. An old flyer for a town meeting of some kind.,,
SUBTITLE_SMAstE32140,Looks like the town’s not too far from here.,,
SUBTITLE_SMAstE32141,"If Mackenzie did pass through, he might have ended up there.",,
SUBTITLE_SMAstE32142,"Either way, someone there’s bound to have some answers.",,
SUBTITLE_SMAstE32143,Hmmm...more of that blizzard line.,,
SUBTITLE_SMAstE32144,Must lead somewhere.,,
SUBTITLE_SMAstE32180,...crash site? How did you know about the...,,
SUBTITLE_SMAstE3220,But how did I get here?,,
SUBTITLE_SMAstE32210,I crashed but...,,
SUBTITLE_SMAstE32211,...days ago.,,
SUBTITLE_SMAstE32212,Far from here.,,
SUBTITLE_SMAstE32250,"Listen, I’m sorry.",,
SUBTITLE_SMAstE32251,You must be mistaken.,,
SUBTITLE_SMAstE32252,I crashed but...not here.,,
SUBTITLE_SMAstE32280,What is this place?,,
SUBTITLE_SMAstE32330,So...these people are all survivors of a crash?,,
SUBTITLE_SMAstE32360,What crashed?,,
SUBTITLE_SMAstE32410,How long do you think this weather will last?,,
SUBTITLE_SMAstE32440,But it’s worse than usual?,,
SUBTITLE_SMAstE32470,Will someone come to check on the town?,,
SUBTITLE_SMAstE32471,Clear the roads so you can get out?,,
SUBTITLE_SMAstE32500,But...what will happen to all these people?,,
SUBTITLE_SMAstE32560,I’m a...doctor. I can have a look at the survivors and uh...see how to help them.,,
SUBTITLE_SMAstE32590,I’ve had a look at the survivors.,,
SUBTITLE_SMAstE32600,"Most are in fairly good condition, given the circumstances.",,
SUBTITLE_SMAstE32650,"Yes, I’ve seen them.",,
SUBTITLE_SMAstE32660,I think I can find most of what these survivors need.,,
SUBTITLE_SMAstE32670,But there is a diabetic in the group.,,
SUBTITLE_SMAstE32671,"They’re going to need insulin, and soon.",,
SUBTITLE_SMAstE32680,Do you know where I might find some?,,
SUBTITLE_SMAstE32700,This survivor has type-1 diabetes.,,
SUBTITLE_SMAstE32701,That means their body can’t produce insulin.,,
SUBTITLE_SMAstE32702,"If they don’t get it, they’ll eventually go into shock and...probably die.",,
SUBTITLE_SMAstE32730,I will. Any suggestions you have would be very useful.,,
SUBTITLE_SMAstE32770,How will I know which luggage is theirs?,,
SUBTITLE_SMAstE32790,Ok. You keep an eye on everyone and I’ll be back as soon as I can.,,
SUBTITLE_SMAstE3280,Well uh...thank you for finding me.,,
SUBTITLE_SMAstE32820,Yes?,,
SUBTITLE_SMAstE32890,I’ve seen death before.,,
SUBTITLE_SMAstE32920,Yes. It’s well known that the mind and body are inextricably linked.,,
SUBTITLE_SMAstE32950,I’ll do what I can to find IDs...documents...anything that can help identify the people who didn’t make it.,,
SUBTITLE_SMAstE32970,Oh um...I’m...I'm not religious.,,
SUBTITLE_SMAstE32971,"Please, keep it.",,
SUBTITLE_SMAstE32990,I...I don’t understand.,,
SUBTITLE_SMAstE3300,Crow?,,
SUBTITLE_SMAstE33030,"I mean no disrespect, Father, but do you really believe this will help?",,
SUBTITLE_SMAstE33060,"So far, yeah.",,
SUBTITLE_SMAstE33070,But there are people in the town who won’t be if I don’t get going.,,
SUBTITLE_SMAstE33090,How d’you know that?,,
SUBTITLE_SMAstE33110,"I would like to help the crash victims, yes.",,
SUBTITLE_SMAstE33130,Let’s hope you’re wrong.,,
SUBTITLE_SMAstE33150,"Look, I’m not sure...",,
SUBTITLE_SMAstE33170,Would you trust someone with a dead body in their basement?,,
SUBTITLE_SMAstE33200,"Well...ok. Thanks, I guess.",,
SUBTITLE_SMAstE33230,Oh god...oh god. You’re alive!,,
SUBTITLE_SMAstE33250,I’m here. I’m here to help.,,
SUBTITLE_SMAstE33280,You’ve been in a crash. You’re in shock.,,
SUBTITLE_SMAstE33290,But...I can help you.,,
SUBTITLE_SMAstE33300,Just let me start a fire...,,
SUBTITLE_SMAstE33320,You’ve lost a lot of blood.,,
SUBTITLE_SMAstE33330,And...you have frostbite.,,
SUBTITLE_SMAstE33340,But it’s ok...it’s going to be ok.,,
SUBTITLE_SMAstE33350,I’m a doctor. I can help you.,,
SUBTITLE_SMAstE33370,I’m sorry...,,
SUBTITLE_SMAstE333791f,I'm sorry...I found her.,,
SUBTITLE_SMAstE333791m,I'm sorry...I found him,,
SUBTITLE_SMAstE333792f,I'm sorry...I found her.,,
SUBTITLE_SMAstE333801f,She...she didn't make it.,,
SUBTITLE_SMAstE333801m,He...didn't make it.,,
SUBTITLE_SMAstE333802f,She didn't make it through the crash.,,
SUBTITLE_SMAstE333802m,He didn't make it through the crash.,,
SUBTITLE_SMAstE333803f,She didn't make it.,,
SUBTITLE_SMAstE333803m,He didn't make it.,,
SUBTITLE_SMAstE333804f,She died in the crash.,,
SUBTITLE_SMAstE333804m,He...died in the crash.,,
SUBTITLE_SMAstE333805f,She was lost in the crash.,,
SUBTITLE_SMAstE333805m,He was lost in the crash.,,
SUBTITLE_SMAstE333806f,She didn't survive.,,
SUBTITLE_SMAstE333806m,He didn't survive.,,
SUBTITLE_SMAstE333807f,She's no longer with us.,,
SUBTITLE_SMAstE333807m,He's no longer with us.,,
SUBTITLE_SMAstE333808f,She didn't survive the crash. I'm so sorry.,,
SUBTITLE_SMAstE333808m,He...didn't survive the crash.,,
SUBTITLE_SMAstE333820,"I'm sorry...I couldn't find who you were looking for. I hope they survived, and they're safe somewhere.",,
SUBTITLE_SMAstE333821,"I'm sorry, I couldn't find them",,
SUBTITLE_SMAstE333822,I'm sorry. I...I could not find who you were looking. Um...I hope they survived. They may well be OK.,,
SUBTITLE_SMAstE33385,I’m so sorry. I know you’re in pain...and you just want it to end.,,
SUBTITLE_SMAstE33386,But I won’t let you die out here.,,
SUBTITLE_SMAstE33390,Hello?,,
SUBTITLE_SMAstE3340,You carried me here?,,
SUBTITLE_SMAstE33410,What...how did you know I was here?,,
SUBTITLE_SMAstE33440,"Um, what do you want, Molly? I’m kinda busy.",,
SUBTITLE_SMAstE33460,You spying on me?,,
SUBTITLE_SMAstE33480,"'Kay, that’s kinda creepy.",,
SUBTITLE_SMAstE33500,"I don’t really have time for this right now, Molly.",,
SUBTITLE_SMAstE33520,Sorry if this sounds harsh but...you don’t seem too broken up about it.,,
SUBTITLE_SMAstE33540,I assume he’s the one in the basement.,,
SUBTITLE_SMAstE33550,Did you kill him?,,
SUBTITLE_SMAstE33570,I guess that depends on the circumstances. And the intent.,,
SUBTITLE_SMAstE33590,Did you kill him?,,
SUBTITLE_SMAstE33630,"Yes, I made it.",,
SUBTITLE_SMAstE33640,And I found another survivor.,,
SUBTITLE_SMAstE33641,"In bad shape, though.",,
SUBTITLE_SMAstE33650,Found the insulin too.,,
SUBTITLE_SMAstE33680,How can you tell?,,
SUBTITLE_SMAstE3370,"All I remember is the tunnel, and wolves...",,
SUBTITLE_SMAstE3371,...being chased.,,
SUBTITLE_SMAstE33710,And then what?,,
SUBTITLE_SMAstE33730,And now?,,
SUBTITLE_SMAstE33750,"Prayer’s your thing, Father. You handle that.",,
SUBTITLE_SMAstE33760,"Between the plane crash and the houses in the area, I’m going to pull together whatever supplies I can find.",,
SUBTITLE_SMAstE33770,"Maybe between the two of us, we can keep these people alive.",,
SUBTITLE_SMAstE33790,I’m sorry...I found [NAME].,,
SUBTITLE_SMAstE3380,And then wandering...,,
SUBTITLE_SMAstE33800,They...didn’t survive the crash.,,
SUBTITLE_SMAstE3381,...forever.,,
SUBTITLE_SMAstE33810,I’m so sorry.,,
SUBTITLE_SMAstE33820,I’m sorry. I couldn’t find who you’re looking for.,,
SUBTITLE_SMAstE33830,"I hope they survived, and have found shelter somewhere else.",,
SUBTITLE_SMAstE3390,Like the world had no end.,,
SUBTITLE_SMAstE33930,"Thank you, Father.",,
SUBTITLE_SMAstE33940,"Do you think while looking favourably on me, he could also help me find a way out of here?",,
SUBTITLE_SMAstE33970,To what?,,
SUBTITLE_SMAstE34000,I’ll take my chances. I really need to get to Perseverance Mills.,,
SUBTITLE_SMAstE34010,"If things are this bad here, they’ll be worse...",,
SUBTITLE_SMAstE34020,"Look, I just need to get there. Can you help me?",,
SUBTITLE_SMAstE34080,"Thank you, Father.",,
SUBTITLE_SMAstE34110,"Go ahead, Father.",,
SUBTITLE_SMAstE34130,I...I don’t know what you mean.,,
SUBTITLE_SMAstE34160,"Look...thank you Father, but religion isn’t really...",,
SUBTITLE_SMAstE34190,"Look around you, Father. I think the lord may have his hands full right now.",,
SUBTITLE_SMAstE34200,"Whatever burdens I may have, they’re mine to bear.",,
SUBTITLE_SMAstE34201,And mine alone.,,
SUBTITLE_SMAstE34220,"I’ll keep it in mind, Father.",,
SUBTITLE_SMAstE34230,Here. You should take this back.,,
SUBTITLE_SMAstE34260,"Hello, Molly.",,
SUBTITLE_SMAstE34280,"Well, I don’t seem to get a lot of other calls out here.",,
SUBTITLE_SMAstE3430,I was in a small town.,,
SUBTITLE_SMAstE3431,Milton.,,
SUBTITLE_SMAstE34320,I have no idea.,,
SUBTITLE_SMAstE34350,I’m not sure. But I don’t do it for that.,,
SUBTITLE_SMAstE34370,"What’s this about, really?",,
SUBTITLE_SMAstE34390,"I’m sure you could have, Molly.",,
SUBTITLE_SMAstE34440,"What happened to him, Molly?",,
SUBTITLE_SMAstE34460,Did he hurt you?,,
SUBTITLE_SMAstE34470,Did you...kill him?,,
SUBTITLE_SMAstE34520,"What did you call to tell me, Molly?",,
SUBTITLE_SMAstE34560,A radio?,,
SUBTITLE_SMAstE34570,But...why’d you wait so long to tell me?,,
SUBTITLE_SMAstE34610,Yup. The radio’s sure dead.,,
SUBTITLE_SMAstE34620,"Well, that trip was a waste.",,
SUBTITLE_SMAstE34630,"I should get some shut-eye, and strike off for the mine Father Tom mentioned in the morning. It’s time to say bye to Pleasant Valley.",,
SUBTITLE_SMAstE34640,The radio...it’s working!,,
SUBTITLE_SMAstE34650,Damn! Why can’t I get anything...,,
SUBTITLE_SMAstE34660,Wha...hello?,,
SUBTITLE_SMAstE34661,Hello?,,
SUBTITLE_SMAstE34670,Can anyone hear me?,,
SUBTITLE_SMAstE34671,Can you hear me?,,
SUBTITLE_SMAstE34680,Mackenzie is that you?,,
SUBTITLE_SMAstE34690,Shit. I can hear him but he can’t hear me.,,
SUBTITLE_SMAstE34691,"- We need a...doctor… or medical assistance. Anything.
- Shit. I can hear him but he can’t hear me.",,
SUBTITLE_SMAstE34700,You’re alive.,,
SUBTITLE_SMAstE34710,Damnit Mackenzie...you’re alive.,,
SUBTITLE_SMAstE34720,And on your way to Perseverance Mills.,,
SUBTITLE_SMAstE34730,I’ve got to get there.,,
SUBTITLE_SMAstE34740,"What is it, Molly?",,
SUBTITLE_SMAstE34760,How’s that?,,
SUBTITLE_SMAstE34790,I...don’t know what you mean.,,
SUBTITLE_SMAstE3480,No.,,
SUBTITLE_SMAstE34840,"I don’t judge you, Molly.",,
SUBTITLE_SMAstE34880,Molly...,,
SUBTITLE_SMAstE3490,The whole town. Milton. It’s...,,
SUBTITLE_SMAstE3491,...gone.,,
SUBTITLE_SMAstE34960,Molly...why are you telling me this?,,
SUBTITLE_SMAstE34980,For someone to know what?,,
SUBTITLE_SMAstE3500,"I mean, the people are gone.",,
SUBTITLE_SMAstE35000,"The convict, outside with the arrows in his back.",,
SUBTITLE_SMAstE35001,That your handiwork too?,,
SUBTITLE_SMAstE3501,Or most of them are.,,
SUBTITLE_SMAstE35020,Who are?,,
SUBTITLE_SMAstE35050,"I’m not sure revenge is the answer, Molly.",,
SUBTITLE_SMAstE35090,"You too, Molly.",,
SUBTITLE_SMAstE3510,"There was a fire, and...",,
SUBTITLE_SMAstE35130,"Yes, he is.",,
SUBTITLE_SMAstE35131,But things are...complicated...between us.,,
SUBTITLE_SMAstE35140,Let’s just say...I wouldn’t want to find him with an arrow in his back.,,
SUBTITLE_SMAstE35180,"Thank you, Molly. I hope you can find some peace too.",,
SUBTITLE_SMAstE35190,The world is changing,,
SUBTITLE_SMAstE35191,...has changed.,,
SUBTITLE_SMAstE35192,The aurora. The weather. The wildlife.,,
SUBTITLE_SMAstE35193,It somehow feels like Mother Nature is crying out.,,
SUBTITLE_SMAstE35194,Or maybe she’s warning us of what’s to come.,,
SUBTITLE_SMAstE35200,"People like Molly, or Father Tom, or the crash survivors...they’re just the ones left behind.",,
SUBTITLE_SMAstE35201,Damaged people. The hopeful and the hopeless.,,
SUBTITLE_SMAstE35210,What will this new world do to them?,,
SUBTITLE_SMAstE35211,Will it make them harder? Will it break them?,,
SUBTITLE_SMAstE35220,I’m not sure I can help them.,,
SUBTITLE_SMAstE35221,And I don’t know what I’ll find when I get to where I’m going.,,
SUBTITLE_SMAstE35230,"But what I do know is this: Mackenzie is alive, and he’s heading to Perseverance Mills.",,
SUBTITLE_SMAstE35231,And that means...I have to get there before it’s too late.,,
SUBTITLE_SMAstE35240,I may not be able to stop this darkness from coming.,,
SUBTITLE_SMAstE35241,But I’ll be damned if I’m going to let it happen without a fight.,,
SUBTITLE_SMAstE3542,Is this...your kitchen?,,
SUBTITLE_SMAstE3544,So you set up a bed in here?,,
SUBTITLE_SMAstE3550,I was in a plane crash. In the mountains.,,
SUBTITLE_SMAstE3560,That’s how I ended up in Milton.,,
SUBTITLE_SMAstE3570,I got separated from...from a friend.,,
SUBTITLE_SMAstE3590,Yes.,,
SUBTITLE_SMAstE36000,Hmm...interesting.,,
SUBTITLE_SMAstE36010,I wonder...,,
SUBTITLE_SMAstE36020,Damn it...,,
SUBTITLE_SMAstE36030,Sleep Research Centre.,,
SUBTITLE_SMAstE36040,Doctor Greenwood speaking.,,
SUBTITLE_SMAstE36060,I told you not to call here.,,
SUBTITLE_SMAstE36080,I am working on it.,,
SUBTITLE_SMAstE3610,There was a storm.,,
SUBTITLE_SMAstE36100,I’m going as fast as I can.,,
SUBTITLE_SMAstE3611,Wolves. I got disoriented.,,
SUBTITLE_SMAstE3612,We got separated.,,
SUBTITLE_SMAstE3613,I couldn’t see him.,,
SUBTITLE_SMAstE36130,I can’t just...it’s in a secure area of the lab. I can’t just walk out with it. There’s security protocols and...,,
SUBTITLE_SMAstE36160,Yes. I do.,,
SUBTITLE_SMAstE36180,I...I will. As soon as I can figure out how to…,,
SUBTITLE_SMAstE36190,I’ll find a way to get it to you.,,
SUBTITLE_SMAstE36210,N...no. It’s been years since we...,,
SUBTITLE_SMAstE36220,I haven’t asked him yet.,,
SUBTITLE_SMAstE36240,I will. I’ll fix it. I promise I will get there.,,
SUBTITLE_SMAstE36260,That’s not going to happen.,,
SUBTITLE_SMAstE3640,I tried to find him but...I couldn’t see anything in the blizzard.,,
SUBTITLE_SMAstE3641,I was so disoriented.,,
SUBTITLE_SMAstE3650,And then I ran into trouble.,,
SUBTITLE_SMAstE3651,Wolves and...,,
SUBTITLE_SMAstE3652,...worse.,,
SUBTITLE_SMAstE3660,I’m sure he made it out fine.,,
SUBTITLE_SMAstE3680,Nothing could break that stubborn skull.,,
SUBTITLE_SMAstE3700,Yes.,,
SUBTITLE_SMAstE37000,This place...am I really trapped in here?,,
SUBTITLE_SMAstE37010,Ha. Got it!,,
SUBTITLE_SMAstE37020,Holy shi...,,
SUBTITLE_SMAstE37030,What the...,,
SUBTITLE_SMAstE37040,"Just who are you, Molly?",,
SUBTITLE_SMAstE37050,What the hell is going on?,,
SUBTITLE_SMAstE37060,Might as well bring this along. For the wolves...or worse.,,
SUBTITLE_SMAstE37070,There are the lines to the barn.,,
SUBTITLE_SMAstE37080,A road to the Community Hall? Let's hope.,,
SUBTITLE_SMAstE37090,Smoke. Maybe that Community Hall from the flyer?,,
SUBTITLE_SMAstE3710,And there’s something I need from the plane.,,
SUBTITLE_SMAstE37100,"Smoke. Signs of life, at least. ",,
SUBTITLE_SMAstE37110,That's got to be the Community Hall.,,
SUBTITLE_SMAstE37120,"Mining town...or used to be, anyway.",,
SUBTITLE_SMAstE37130,That's got to be the crash the priest was talking about.,,
SUBTITLE_SMAstE37140,"Something's burning alright, something big.",,
SUBTITLE_SMAstE37150,Hard to believe anyone survived this.,,
SUBTITLE_SMAstE37160,Now to find that insulin. ,,
SUBTITLE_SMAstE37170,These poor people...nothing but wreckage.,,
SUBTITLE_SMAstE37180,Bingo!,,
SUBTITLE_SMAstE37190,This might improve the odds a bit. ,,
SUBTITLE_SMAstE37200,Looks like the plane's passenger manifest.,,
SUBTITLE_SMAstE37210,Still some names missing from the passenger manifest.,,
SUBTITLE_SMAstE37220,"Became delirious and wandered off, maybe. ",,
SUBTITLE_SMAstE37230,"If I could signal them somehow, let them know I am close? ",,
SUBTITLE_SMAstE37240,The sky...so brilliant. ,,
SUBTITLE_SMAstE37250,Electricity...must be reacting to the lights in the sky. ,,
SUBTITLE_SMAstE37260,The lights...so much energy moving through the air. ,,
SUBTITLE_SMAstE37270,The radio tower...so I have a chance at least. ,,
SUBTITLE_SMAstE37280,A radio tower...I can't believe it.,,
SUBTITLE_SMAstE37290,But then again nothing in this place makes any sense. ,,
SUBTITLE_SMAstE3730,Something important.,,
SUBTITLE_SMAstE37300,"More bodies, Molly?",,
SUBTITLE_SMAstE3731,I need to find him. I need to get it back.,,
SUBTITLE_SMAstE37310,Can only hope the radio in here is in better shape than everything else in the valley.,,
SUBTITLE_SMAstE37320,Uh..looks iffy...,,
SUBTITLE_SMAstE37330,It's a mine alright...air is thick.,,
SUBTITLE_SMAstE37340,Pitch black...it just goes on.,,
SUBTITLE_SMAstE37350,No way to know how deep it goes.,,
SUBTITLE_SMAstE37360,Dead end...right. Have to find another way.,,
SUBTITLE_SMAstE37370,"No, NO!",,
SUBTITLE_SMAstE37380,"Ok, nothing broken, still breathing.",,
SUBTITLE_SMAstE37390,I can probably duck under those rocks...,,
SUBTITLE_SMAstE3740,You haven’t seen a man pass through here?,,
SUBTITLE_SMAstE37400,More dead ends...,,
SUBTITLE_SMAstE37410,This elevator looks like the only way out of here.,,
SUBTITLE_SMAstE37420,Hmm. Needs fuses.,,
SUBTITLE_SMAstE37430,"Last one, assuming they work.",,
SUBTITLE_SMAstE37440,"Phew...a way out, finally.",,
SUBTITLE_SMAstE37500,A prison guard? Oh shi...,,
SUBTITLE_SMAstE37510,Another body...,,
SUBTITLE_SMAstE37520,So brutal...,,
SUBTITLE_SMAstE37530,Arrows again...,,
SUBTITLE_SMAstE37540,From Milton...? How...?,,
SUBTITLE_SMAstE37550,"Tables have turned, clearly.",,
SUBTITLE_SMAstE37560,And more arrows. Now to find those supplies.,,
SUBTITLE_SMAstE3760,But you’ve seen a man?,,
SUBTITLE_SMAstE37600,Something's gone missing...,,
SUBTITLE_SMAstE37610,Better bring you home.,,
SUBTITLE_SMAstE37620,This should make the Priest happy. I should check back tomorrow.,,
SUBTITLE_SMAstE37700,Some more help from Molly. Let's hope these work.,,
SUBTITLE_SMAstE3810,Ok.,,
SUBTITLE_SMAstE3840,Thank you. I will.,,
SUBTITLE_SMAstE3860,Right.,,
SUBTITLE_SMAstE3900,I heard a...kettle whistling.,,
SUBTITLE_SMAstE3930,I must be starting to feel better because that actually sounds good.,,
SUBTITLE_SMAstE3980,It’s a long story.,,
SUBTITLE_SMAstE49510,Wa...wat...water.,,
SUBTITLE_SMAstEP01BreakYoua,Don't let this new world break you.,,Ikkje la denne nye verdenen knekke deg.
SUBTITLE_SMAstSurvivorCarryBreath01,[Quiet breathing],,
SUBTITLE_SMAstSurvivorCarryBreath02,[Quiet breathing],,
SUBTITLE_SMAstSurvivorCarryBreath03,[Quiet breathing],,
SUBTITLE_SMAstSurvivorCarryBreath04,[Quiet breathing],,
SUBTITLE_SMAstSurvivorCarryBreath05,[Moderate breathing],,
SUBTITLE_SMAstSurvivorCarryBreath06,[Moderate breathing],,
SUBTITLE_SMAstSurvivorCarryBreath07,[Moderate breathing],,
SUBTITLE_SMAstSurvivorCarryBreath08,[Moderate breathing],,
SUBTITLE_SMAstSurvivorCarryBreath09,[Heavy breathing],,
SUBTITLE_SMAstSurvivorCarryBreath10,[Heavy breathing],,
SUBTITLE_SMAstSurvivorCarryBreath11,[Heavy breathing],,
SUBTITLE_SMAstSurvivorCarryBreath12,[Heavy breathing],,
SUBTITLE_SMAstSurvivorCheck01,We can make it.,,
SUBTITLE_SMAstSurvivorCheck02,"Hang on, I have you.",,
SUBTITLE_SMAstSurvivorCheck03,"Don't close your eyes, not yet.",,
SUBTITLE_SMAstSurvivorCheck04,"I can see it, we're almost there.",,
SUBTITLE_SMAstSurvivorCheck05,"Don’t give up, I won't leave you.",,
SUBTITLE_SMAstSurvivorCheck06,We're making good time.,,
SUBTITLE_SMAstSurvivorCheck07,We're making good time.,,
SUBTITLE_SMAstSurvivorCheck08,"Hold on, just hold on.",,
SUBTITLE_SMAstSurvivorCheck09,Stay with me.,,
SUBTITLE_SMAstSurvivorCheck10,We're not far now.,,
SUBTITLE_SMAstSurvivorCheck11,"I've got you, we're going to make it.",,
SUBTITLE_SMAstSurvivorCheck12,I won't let you go.,,
SUBTITLE_SMAstSurvivorCheck13,"Hang in there, we can do this.",,
SUBTITLE_SMAstSurvivorCheck14,Not much farther now.,,
SUBTITLE_SMAstSurvivorCheck15,"Just stay awake, we're getting closer.",,
SUBTITLE_SMAstSurvivorPickup01,No way around this.,,
SUBTITLE_SMAstSurvivorPickup01_alt1,No way around this.,,
SUBTITLE_SMAstSurvivorPickup01_alt2,No way around this.,,
SUBTITLE_SMAstSurvivorPickup02,Up we go.,,
SUBTITLE_SMAstSurvivorPickup02_alt1,Up we go.,,
SUBTITLE_SMAstSurvivorPickup02_alt2,Up we go.,,
SUBTITLE_SMAstSurvivorPickup03,Grh.,,
SUBTITLE_SMAstSurvivorPickup03_alt1,Grh.,,
SUBTITLE_SMAstSurvivorPickup03_alt2,Grh.,,
SUBTITLE_SMAstSurvivorPickup04,Hoof.,,
SUBTITLE_SMAstSurvivorPickup04_alt1,Hoof.,,
SUBTITLE_SMAstSurvivorPickup04_alt2,Uff...,,
SUBTITLE_SMAstSurvivorPickup05,Won't let you fall.,,
SUBTITLE_SMAstSurvivorPickup05_alt1,Won't let you fall.,,
SUBTITLE_SMAstSurvivorPickup05_alt2,Won't let you fall.,,
SUBTITLE_SMAstSurvivorPickup06,Easy does it.,,
SUBTITLE_SMAstSurvivorPickup06_alt1,Easy does it.,,
SUBTITLE_SMAstSurvivorPickup06_alt2,Easy does it.,,
SUBTITLE_SMAstSurvivorPickup07,Have to carry you.,,
SUBTITLE_SMAstSurvivorPickup07_alt1,Have to carry you.,,
SUBTITLE_SMAstSurvivorPickup07_alt2,Have to carry you.,,
SUBTITLE_SMAstSurvivorPickup08,Only one way.,,
SUBTITLE_SMAstSurvivorPickup08_alt1,Only one way.,,
SUBTITLE_SMAstSurvivorPickup08_alt2,Only one way.,,
SUBTITLE_SMAstSurvivorPickup09,I've got you.,,
SUBTITLE_SMAstSurvivorPickup09_alt1,I've got you.,,
SUBTITLE_SMAstSurvivorPickup09_alt2,I've got you.,,
SUBTITLE_SMAstSurvivorPickup10,Hold on.,,
SUBTITLE_SMAstSurvivorPickup10_alt1,Hold on.,,
SUBTITLE_SMAstSurvivorPickup10_alt2,Hold on.,,
SUBTITLE_SMAstSurvivorPickup11,"It's ok, it's ok.",,
SUBTITLE_SMAstSurvivorPickup11_alt1,"It's ok, it's ok.",,
SUBTITLE_SMAstSurvivorPickup11_alt2,"It's ok, it's ok.",,
SUBTITLE_SMAstSurvivorPickup11_alt3,"It's ok, it's ok.",,
SUBTITLE_SMAstSurvivorPickup12,"Up now, easy.",,
SUBTITLE_SMAstSurvivorPickup12_alt1,"Up now, easy.",,
SUBTITLE_SMAstSurvivorPickup12_alt2,"Up now, easy.",,
SUBTITLE_SMAstSurvivorSetDown01,I need...to catch my breath.,,
SUBTITLE_SMAstSurvivorSetDown01_alt1,I need...to catch my breath.,,
SUBTITLE_SMAstSurvivorSetDown01_alt2,I need...to catch my breath.,,
SUBTITLE_SMAstSurvivorSetDown02,Here you go…,,
SUBTITLE_SMAstSurvivorSetDown02_alt1,Here you go…,,
SUBTITLE_SMAstSurvivorSetDown02_alt2,Here you go…,,
SUBTITLE_SMAstSurvivorSetDown03,Here you go…,,
SUBTITLE_SMAstSurvivorSetDown03_alt1,Here you go…,,
SUBTITLE_SMAstSurvivorSetDown03_alt2,Here you go…,,
SUBTITLE_SMAstSurvivorSetDown04,"I've got you, don’t worry.",,
SUBTITLE_SMAstSurvivorSetDown04_alt1,"I've got you, don’t worry.",,
